Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
Joel De La Cruz,ATL,2016,5.189113719,-0.180609776,5.028314566,-1.263680056,5.086084968,0.05581395,0.36744186,4.97,89.18863777,Joel De La Cruz,12825,503444
Enny Romero,TBR,2016,4.788896652,-0.186944306,4.656319344,-0.136627927,4.311193682,0.06349206,0.4047619,4.22,90.53260634,Enny Romero,4001,544836
Roenis Elías,BOS,2016,7.711775881,-0.190285192,6.710246933,-0.336239971,6.491148248,0.06060606,0.36363636,7.69,90.9368424,Roenis Elias,12673,606273
Javy Guerra,LAA,2016,7.72551005,-0.191724122,7.513805506,-0.108644016,7.285510407,0.05555556,0.33333333,4.81,91.3092787,Javy Guerra,7407,457915
Jesse Chavez,- - -,2016,4.489844653,-0.192423712,4.100543831,-0.108734041,3.590764577,0.07537688,0.38693467,4.31,89.12564611,Jesse Chavez,5448,445926
Chris Beck,CHW,2016,5.357086976,-0.19308576,5.264056034,-0.743924022,5.159248553,0.04761905,0.28571429,5,86.88854208,Chris Beck,13418,571476
Brock Stewart,LAD,2016,5.896560383,-0.193863593,5.025990021,-0.075027987,4.623031557,0.06741573,0.31460674,4.13,85.64219111,Brock Stewart,16727,592779
Mike Bolsinger,LAD,2016,5.821258871,-0.196866006,4.458580373,-0.760431886,4.342388549,0.10465116,0.45348837,7.41,90.71125518,Mike Bolsinger,11137,502211
Arnold Leon,TOR,2016,8.289418226,-0.19770433,4.859475862,-0.476556003,4.310382384,0.125,0.625,8.65,96.24900055,Arnold Leon,5595,504186
Kevin Quackenbush,SDP,2016,4.587901779,-0.197879598,5.050177826,-1.171984076,4.661722188,0.03174603,0.38095238,5,88.53427522,Kevin Quackenbush,12360,534812
Taylor Jungmann,MIL,2016,5.996560043,-0.200995885,5.982820913,-0.909472015,5.811979906,0.11363636,0.38636364,7.27,89.17809405,Taylor Jungmann,13119,543380
Gonzalez Germen,COL,2016,5.089183637,-0.202396005,5.25199101,0.250565976,5.124744752,0.06451613,0.36290323,6.09,88.33928223,Gonzalez Germen,5876,542674
Roberto Hernandez,ATL,2016,7.924338161,-0.207556143,4.552428128,-0.260785997,4.485312925,0.09375,0.375,4.37,89.14653015,Roberto Hernandez,3273,433584
Layne Somsen,CIN,2016,16.43229277,-0.209096432,8.144739901,-0.181963995,6.646483882,0.18181818,0.54545455,11.99,93.08949585,Layne Somsen,15301,643550
Jumbo Díaz,CIN,2016,5.239584567,-0.213489771,4.602785084,-0.62708801,4.278937204,0.056,0.352,3.59,87.95649858,Jumbo Diaz,3397,471822
Patrick Schuster,- - -,2016,6.95425517,-0.215430592,7.95265694,-0.478402024,6.340800367,0.05882353,0.41176471,9.08,87.63597338,Patrick Schuster,10029,572119
Ariel Peña,MIL,2016,30.14650695,-0.216553122,11.74334561,-0.023080001,8.610184021,0.11111111,0.55555556,159.88,98.21982829,Ariel Pena,10240,516414
Andrew Albers,MIN,2016,6.146560383,-0.216901362,4.184584747,-0.720862024,4.034890067,0.11111111,0.38095238,6.87,88.80158737,Andrew Albers,7853,452027
Austin Adams,CLE,2016,5.982925986,-0.219652742,4.254489239,-0.287118047,4.070276491,0.078125,0.390625,6.05,93.82609863,Austin Adams,7411,542866
Edwin Jackson,- - -,2016,5.360846248,-0.227845419,5.236523346,-0.904668003,5.226710328,0.07777778,0.36666667,5.56,89.36228148,Edwin Jackson,1841,429719
Dillon Gee,KCR,2016,5.25056064,-0.22974367,4.833230321,-0.543561935,4.597664767,0.06443914,0.30071599,4.65,87.08017434,Dillon Gee,7396,518716
Pat Venditte,- - -,2016,6.146562984,-0.230662843,5.538999873,-0.227879964,4.629344506,0.08571429,0.44285714,5.42,90.02878767,Pat Venditte,7108,519381
