Name,AAV,catcher,year,Age,stayed_same_team,G,PA,HR,R,RBI,AVG,OBP,SLG,GDP,H,OPS,PlayerId,G_2,PA_2,HR_2,R_2,RBI_2,AVG_2,OBP_2,SLG_2,GDP_2,H_2,OPS_2,SB_success,SB_success_2
Jason Heyward,28.31984038,FALSE,2016,26,FALSE,154,610,13,79,60,0.29250457,0.358552631,0.438756855,13,160,0.797309486,4940,149,649,11,74,58,0.270506108,0.351309707,0.383944153,2,155,0.73525386,88.46153846,83.33333333
Josh Donaldson,27.31548257,FALSE,2020,34,FALSE,155,659,37,96,94,0.258652094,0.37936267,0.520947176,13,142,0.900309846,5038,52,219,8,30,23,0.245989304,0.351598173,0.44919786,3,46,0.800796033,66.66666667,100
Josh Donaldson,27.34086533,FALSE,2019,33,FALSE,52,219,8,30,23,0.245989304,0.351598173,0.44919786,3,46,0.800796033,5038,113,496,33,65,78,0.269879518,0.385080645,0.559036144,5,112,0.944116789,100,50
Justin Upton,27.24245515,FALSE,2016,28,FALSE,150,620,26,85,81,0.250922509,0.336025848,0.453874538,10,136,0.789900386,5222,154,641,29,77,102,0.270318021,0.3421875,0.491166077,10,153,0.833353577,79.16666667,66.66666667
J.D. Martinez,26.03280986,FALSE,2018,30,FALSE,119,489,45,85,104,0.30324074,0.376278118,0.689814814,23,131,1.066092932,6184,120,517,22,69,68,0.306521739,0.373307543,0.534782608,13,141,0.908090151,100,33.33333333
Jason Heyward,21.87311124,FALSE,2023,33,FALSE,48,151,1,15,10,0.204379562,0.278145695,0.277372262,3,28,0.555517957,4940,104,353,8,35,30,0.213622291,0.280453257,0.346749226,4,69,0.627202483,100,83.33333333
Brandon Nimmo,20.13320466,FALSE,2023,30,TRUE,151,673,16,102,64,0.274137931,0.367164179,0.43275862,9,159,0.799922799,12927,92,386,8,51,28,0.292307692,0.401041666,0.436923076,3,95,0.837964742,60,55.55555556
Anthony Rizzo,19.88464658,FALSE,2023,33,TRUE,130,548,32,77,75,0.223655913,0.33759124,0.479569892,13,104,0.817161132,3473,141,576,22,73,61,0.24798387,0.34375,0.439516129,15,123,0.783266129,54.54545455,75
Carlos Santana,23.66619078,FALSE,2018,32,FALSE,154,667,23,90,79,0.259194395,0.36281859,0.455341506,11,148,0.818160096,2396,158,688,34,89,87,0.259450171,0.366279069,0.498281786,18,151,0.864560855,83.33333333,71.42857143
Edwin Encarnacion,23.42204228,FALSE,2017,34,FALSE,160,702,42,99,127,0.262895174,0.35663338,0.529118136,22,158,0.885751516,2151,146,624,39,94,111,0.276515151,0.371794871,0.556818181,14,146,0.928613052,100,60
Nick Castellanos,21.94265016,FALSE,2022,30,FALSE,138,585,34,95,100,0.308851224,0.362393162,0.576271186,16,164,0.938664348,11737,151,664,27,100,73,0.289430894,0.337349397,0.525203252,12,178,0.862552649,75,50
Kyle Schwarber,21.66836703,FALSE,2022,29,FALSE,113,471,32,76,71,0.26566416,0.373673036,0.553884711,4,106,0.927557747,16478,155,610,38,82,92,0.24952741,0.339344262,0.531190926,6,132,0.870535188,50,40
Joc Pederson,19.53666526,FALSE,2023,31,TRUE,134,433,23,57,70,0.27368421,0.353348729,0.521052631,5,104,0.87440136,11899,137,481,18,55,61,0.237762237,0.309771309,0.421911421,9,102,0.73168273,60,40
Jose Abreu,19.38753042,FALSE,2023,36,FALSE,157,679,15,85,75,0.304492512,0.37849779,0.44592346,19,183,0.82442125,15676,152,659,30,86,117,0.261484098,0.350531107,0.480565371,28,148,0.831096478,0,100
Starling Marte,21.39408391,FALSE,2022,33,FALSE,120,526,12,89,55,0.310492505,0.382857142,0.458244111,6,145,0.841101253,9241,132,586,23,97,82,0.294990723,0.342465753,0.502782931,15,159,0.845248684,90.38461538,80.64516129
Jose Bautista,21.66538911,FALSE,2017,36,TRUE,116,517,22,68,69,0.234042553,0.365570599,0.451536643,21,99,0.817107242,1887,153,666,40,108,114,0.250460405,0.376876876,0.535911602,19,136,0.912788478,50,80
Brandon Belt,20.18723815,FALSE,2022,34,TRUE,97,381,29,65,59,0.273846153,0.377952755,0.596923076,9,89,0.974875831,10264,156,616,17,76,57,0.233840304,0.339285714,0.403041825,6,123,0.742327539,60,57.14285714
Yasmani Grandal,21.67424161,TRUE,2020,31,FALSE,153,632,28,79,77,0.245614035,0.379746835,0.467836257,16,126,0.847583092,11368,140,518,24,65,68,0.24090909,0.349420849,0.46590909,12,106,0.815329939,83.33333333,66.66666667
Yasmani Grandal,21.69438227,FALSE,2019,30,FALSE,140,518,24,65,68,0.24090909,0.349420849,0.46590909,12,106,0.815329939,11368,129,482,22,50,58,0.246575342,0.307692307,0.458904109,10,108,0.766596416,66.66666667,0
Alex Gordon,22.16335334,FALSE,2016,32,TRUE,104,422,13,40,48,0.27118644,0.376777251,0.432203389,2,96,0.80898064,5209,156,643,19,87,74,0.26642984,0.351477449,0.431616341,11,150,0.78309379,28.57142857,80
