Name,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
"Yan Gomes",2022,CHC,OAK,34,4.7,10,882,0,103,375,14,49,52,0,0.050666666,0.208,0.252148997,0.301333333,0.421203438,15,0,88,0.722536771,9627,543228,97,358,12,36,43,2,0.106145251,0.234636871,0.222929936,0.315642458,0.388535031,7,0,70,0.704177489,97,358,12,36,43,2,0.106145251,0.234636871,0.222929936,0.315642458,0.388535031,7,0,70,0.704177489
"Michael Hermosillo",2022,CHC,CHC,27,0.1,4,72,1,16,38,3,5,7,0,0.026315789,0.315789473,0.194444444,0.236842105,0.5,3,0,7,0.736842105,16285,641684,18,46,0,7,3,2,0.108695652,0.413043478,0.138888888,0.304347826,0.222222222,1,0,5,0.526570048,18,46,0,7,3,2,0.108695652,0.413043478,0.138888888,0.304347826,0.222222222,1,0,5,0.526570048
"P.J. Higgins",2022,CHC,CHC,29,-0.4,1,9,1,9,25,0,1,0,0,0.08,0.32,0.04347826,0.12,0.04347826,2,0,1,0.16347826,18433,664731,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Josh Harrison",2022,CHW,OAK,34,1.5,11,1049,0,138,558,8,58,60,9,0.055555555,0.134408602,0.27920792,0.341113105,0.4,9,5,141,0.741113105,8202,543281,36,147,1,10,8,4,0.040816326,0.183673469,0.175182481,0.217687074,0.262773722,0,2,24,0.480460796,36,147,1,10,8,4,0.040816326,0.183673469,0.175182481,0.217687074,0.262773722,0,2,24,0.480460796
"Leury Garcia",2022,CHW,CHW,31,4,9,604,1,126,474,5,60,54,6,0.08649789,0.20464135,0.267469879,0.33548387,0.375903614,12,2,111,0.711387484,5913,544725,140,618,8,93,40,15,0.033980582,0.224919093,0.279029462,0.309719934,0.377816291,6,5,161,0.687536225,140,618,8,93,40,15,0.033980582,0.224919093,0.279029462,0.309719934,0.377816291,6,5,161,0.687536225
"Tommy Pham",2022,CIN,SDP,34,5.2,8,732,0,155,561,15,74,49,14,0.139037433,0.228163992,0.229473684,0.340463458,0.383157894,10,6,109,0.723621352,2967,502054,145,654,21,77,68,25,0.123853211,0.188073394,0.273368606,0.368501529,0.449735449,22,4,155,0.818236978,145,654,21,77,68,25,0.123853211,0.188073394,0.273368606,0.368501529,0.449735449,22,4,155,0.818236978
"Brandon Drury",2022,CIN,NYM,29,-1.5,7,507,0,51,88,4,7,14,0,0.034090909,0.25,0.273809523,0.306818181,0.476190476,3,0,23,0.783008657,11615,592273,120,447,15,43,41,0,0.055928411,0.25279642,0.217703349,0.261744966,0.380382775,6,1,91,0.642127741,120,447,15,43,41,0,0.055928411,0.25279642,0.217703349,0.261744966,0.380382775,6,1,91,0.642127741
"Albert Almora",2022,CIN,NYM,28,-1.6,6,536,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Donovan Solano",2022,CIN,SFG,34,4.1,8,606,0,101,344,7,35,31,2,0.072674418,0.168604651,0.280130293,0.344023323,0.403908794,8,0,86,0.747932117,8623,456781,81,228,4,27,23,0,0.043859649,0.21491228,0.330232558,0.359649122,0.455813953,4,1,71,0.815463075,81,228,4,27,23,0,0.043859649,0.21491228,0.330232558,0.359649122,0.455813953,4,1,71,0.815463075
"Colin Moran",2022,CIN,PIT,29,-0.6,6,460,0,99,359,10,29,50,1,0.100278551,0.242339832,0.257861635,0.334261838,0.389937106,6,0,82,0.724198944,16909,592567,149,503,13,46,80,0,0.059642147,0.232604373,0.276824034,0.322067594,0.429184549,13,1,129,0.751252143,149,503,13,46,80,0,0.059642147,0.232604373,0.276824034,0.322067594,0.429184549,13,1,129,0.751252143
