Name ,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
Eury Pérez,MIA,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eury Perez,27768,691587
Brandon Pfaadt,ARI,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brandon Pfaadt,27782,694297
Noah Syndergaard,- - -,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Noah Syndergaard,11762,592789
Jorge Alfaro,- - -,18,52,1,2,4,0,0.038461538,0.288461538,0.145833333,0.211538461,0.291666666,3,0,7,0.503205127,Jorge Alfaro,12180,595751
Zach Davies,ARI,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zach Davies,13183,605200
Tayler Scott,- - -,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tayler Scott,13652,605463
Luis Torrens,- - -,18,30,0,1,4,0,0.033333333,0.3,0.25,0.3,0.357142857,0,0,7,0.657142857,Luis Torrens,15905,620443
Tyler Kinley,COL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyler Kinley,18297,641755
Edwin Ríos,CHC,18,34,1,3,2,0,0.147058823,0.470588235,0.071428571,0.235294117,0.214285714,0,0,2,0.449579831,Edwin Rios,18316,621458
Dakota Hudson,STL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dakota Hudson,19206,641712
Thomas Hatch,- - -,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thomas Hatch,19264,641672
Darick Hall,PHI,18,56,1,2,3,0,0.035714285,0.321428571,0.166666666,0.196428571,0.24074074,2,0,9,0.437169311,Darick Hall,19717,669742
Bailey Falter,- - -,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bailey Falter,20070,663559
James McArthur,KCR,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James McArthur,21527,663704
Coco Montes,COL,18,41,1,3,3,0,0.048780487,0.292682926,0.184210526,0.243902439,0.315789473,0,0,7,0.559691912,Coco Montes,21547,663796
Jordan Balazovic,MIN,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jordan Balazovic,21866,666364
DL Hall,BAL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL Hall,22207,669084
Michael Grove,LAD,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Grove,23221,675627
José Tena,CLE,18,34,0,2,3,0,0.088235294,0.382352941,0.225806451,0.294117647,0.29032258,0,0,7,0.584440227,Jose Tena,23691,677588
Amos Willingham,WSN,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amos Willingham,26128,686294
Nick Robertson,- - -,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nick Robertson,26226,687798
Luis L. Ortiz,PIT,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis L. Ortiz,27646,682847
Bryan Woo,SEA,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bryan Woo,30279,693433
Joe Musgrove,SDP,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joe Musgrove,12970,605397
Dinelson Lamet,- - -,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dinelson Lamet,17186,659275
Javy Guerra,- - -,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Javy Guerra,17292,642770
Josh Taylor,KCR,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Taylor,17359,657031
Trey Wingenter,DET,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trey Wingenter,17793,622259
Ronel Blanco,HOU,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ronel Blanco,19407,669854
Jonathan Loáisiga,NYY,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jonathan Loaisiga,19753,642528
Justin Garza,BOS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Justin Garza,19784,621057
Calvin Faucher,TBR,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Calvin Faucher,20116,676534
Jo Adell,LAA,17,62,3,7,6,1,0.064516129,0.403225806,0.206896551,0.258064516,0.448275862,1,0,12,0.706340378,Jo Adell,20220,666176
Greg Weissert,NYY,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greg Weissert,20375,669711
Francisco Pérez,OAK,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Francisco Perez,21018,660906
Brandon Hughes,CHC,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brandon Hughes,23460,676714
Jordyn Adams,LAA,17,40,0,1,1,1,0,0.4,0.128205128,0.125,0.128205128,0,2,5,0.253205128,Jordyn Adams,23788,677941
J.P. Martínez,TEX,17,44,1,7,4,0,0.045454545,0.363636363,0.225,0.25,0.325,0,0,9,0.575,J.P. Martinez,24451,679881
Tommy Henry,ARI,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tommy Henry,26285,674072
Alec Marsh,KCR,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alec Marsh,27451,679525
Louie Varland,MIN,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louie Varland,27691,686973
Ian Kennedy,TEX,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ian Kennedy,6986,453178
Matt Carasiti,COL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt Carasiti,13276,571539
Chad Kuhl,WSN,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad Kuhl,14975,641771
José Urquidy,HOU,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jose Urquidy,18413,664353
Hobie Harris,WSN,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hobie Harris,18615,665048
