Team,Season,Age,W,L,ERA,WHIP,G,GS,QS,SV,BS,HLD,IP,SO,K/9,BB/9,HR/9,GB%,LD%,FB%,FBv,NameASCII,PlayerId,MLBAMID
BAL,2023,28,2,0,4.725000113,1.27500003,7,0,0,0,0,0,13.1,14,9.450000225,0,2.025000048,0.477272727,0.204545454,0.318181818,90.25,Bruce Zimmermann,20370,669145
SDP,2023,28,0,0,12,2.333333333,2,0,0,0,0,0,3,5,15,12,3,0.428571428,0,0.571428571,90.23529412,Nick Hernandez,19281,663321
COL,2023,25,2,5,8.228571877,1.657142947,11,3,0,0,0,0,35,16,4.114285938,4.114285938,1.285714356,0.41322314,0.198347107,0.388429752,90.19805195,Karl Kauffmann,27488,666154
LAA,2023,26,0,0,10.28571569,2.857143246,4,1,0,0,0,0,7,4,5.142857844,9.000001226,0,0.448275862,0.172413793,0.379310344,90.16901408,Jhonathan Diaz,20298,646242
NYM,2023,30,4,0,2.892857301,1.307142928,9,9,3,0,0,0,46.2,32,6.171428908,3.278571607,0.771428613,0.45323741,0.158273381,0.388489208,90.02535211,Joey Lucchesi,19320,664192
LAA,2023,33,6,6,5.425531952,1.489361712,27,25,7,0,0,0,141,119,7.595744732,4.085106411,1.276595753,0.309468822,0.210161662,0.480369515,89.97219559,Tyler Anderson,12880,542881
MIA,2023,28,0,0,21,3.333333333,2,0,0,0,0,0,3,4,12,9,6,0.615384615,0,0.384615384,89.94444444,Daniel Castano,19805,641447
MIL,2023,29,0,0,6.750001609,2.250000536,1,0,0,0,0,1,2.2,4,13.50000322,3.375000805,0,0.444444444,0.111111111,0.444444444,89.94117647,Thomas Pannone,17281,623381
NYM,2023,35,1,2,2.798781399,1.262195533,66,0,0,3,3,25,54.2,61,10.0426862,4.115854999,0.6585368,0.429577464,0.183098591,0.387323943,89.93227092,Brooks Raley,10061,548384
DET,2023,28,2,1,4.50000039,1.11363646,25,1,0,0,0,1,44,44,9.00000078,1.022727361,1.636363778,0.3203125,0.1796875,0.5,89.92134831,Tyler Alexander,17735,641302
CIN,2023,27,1,0,7.071430498,1.928571954,14,0,0,0,0,1,14,13,8.357145134,6.42857318,1.285714636,0.54347826,0.217391304,0.239130434,89.85606061,Reiver Sanmartin,19754,665665
ATL,2023,27,1,2,5.288660002,1.391752632,6,6,2,0,0,0,32.1,34,9.463917898,2.226804211,1.391752632,0.453608247,0.164948453,0.381443298,89.84705882,Allan Winans,21238,642216
ATL,2023,24,12,4,3.812977321,1.276717632,31,31,16,0,0,0,174.2,128,6.595420231,3.246183395,0.979007691,0.49905482,0.20415879,0.296786389,89.84536082,Bryce Elder,27779,693821
MIL,2023,32,3,5,4.395348993,1.130232598,14,11,5,0,0,0,71.2,50,6.27906999,1.632558197,1.632558197,0.4,0.186363636,0.413636363,89.84339623,Julio Teheran,6797,527054
ATL,2023,25,1,0,3.98360662,1.08196723,5,2,2,0,0,0,20.1,14,6.196721408,3.098360704,1.327868873,0.403225806,0.096774193,0.5,89.83333333,Darius Vines,25928,670241
CHW,2023,25,2,0,4.050001159,1.500000429,16,0,0,0,0,0,20,18,8.100002317,4.950001416,0.900000257,0.393442622,0.229508196,0.37704918,89.78985507,Sammy Peralta,25589,671111
SDP,2023,33,1,4,5.481204108,1.646616872,48,0,0,0,3,9,44.1,26,5.278196548,2.842105834,1.421052917,0.611842105,0.157894736,0.230263157,89.7140625,Tim Hill,16814,657612
KCR,2023,39,2,15,5.058548055,1.271662775,30,27,2,0,0,0,142.1,97,6.133489516,1.454332566,1.580796267,0.431330472,0.206008583,0.362660944,89.68471338,Zack Greinke,1943,425844
ARI,2023,32,2,2,4.615385631,1.128205376,35,3,0,0,0,1,39,28,6.461539884,2.076923534,0.923077126,0.537815126,0.12605042,0.336134453,89.66058394,Joe Mantiply,14857,573009
CIN,2023,30,0,1,3.857143383,1.714285948,1,0,0,0,0,0,2.1,0,0,3.857143383,0,0.3,0.4,0.3,89.6,Randy Wynne,25804,691094
STL,2023,23,1,4,8.019802586,2.079208078,8,8,0,0,0,0,33.2,32,8.554456092,5.079208304,1.87128727,0.394957983,0.168067226,0.436974789,89.55021834,Drew Rom,24602,680723
ARI,2023,30,2,5,6.995951849,1.663967714,18,18,3,0,0,0,82.1,72,7.87044583,4.263158158,1.093117476,0.442748091,0.217557251,0.339694656,89.52976914,Zach Davies,13183,605200
ARI,2023,33,0,3,10.26000039,2.400000092,4,4,0,0,0,0,16.2,10,5.400000206,8.100000309,2.160000082,0.375,0.21875,0.40625,89.50862069,Madison Bumgarner,5524,518516
CIN,2023,31,0,0,18,5,1,0,0,0,0,0,1,0,0,9,9,0.75,0,0.25,89.5,Alec Mills,13834,621219
STL,2023,35,1,0,6.585367539,1.536585759,15,0,0,0,0,4,27.1,20,6.585367539,3.292683769,2.304878639,0.325842696,0.146067415,0.528089887,89.46363636,Casey Lawrence,11121,596271
KCR,2023,26,0,0,0,2,1,0,0,0,0,0,1,1,9,0,0,0.75,0.25,0,89.38888889,Nate Eaton,25055,681987
COL,2023,32,3,3,5.538461809,1.641025721,20,13,2,0,0,0,78,50,5.769231051,2.769230905,1.730769315,0.391791044,0.276119402,0.332089552,89.35971223,Ty Blach,14361,621389
WSN,2023,31,6,10,5.549653775,1.60046195,30,30,5,0,0,0,144.1,111,6.921478304,3.304850001,2.120092453,0.395061728,0.193415637,0.411522633,89.34455446,Trevor Williams,16977,592866
SEA,2023,27,0,0,5.4,2,3,0,0,0,0,0,5,10,18,5.4,1.8,0.642857142,0,0.357142857,89.21052632,Darren McCaughan,20038,670766
NYY,2023,33,1,2,2.65573812,1.229508389,32,0,0,1,1,2,40.2,28,6.19672228,1.99180359,0.22131151,0.47368421,0.187969924,0.338345864,89.17253521,Nick Ramirez,12575,598286
OAK,2023,34,1,1,6.666667138,1.629629745,14,2,0,0,0,0,27,25,8.333333922,4.666666996,2.666666855,0.341463414,0.329268292,0.329268292,89.16756757,Zach Neal,11294,594943
TBR,2023,30,0,1,5.869565704,1.434782728,10,3,0,0,0,1,15.1,11,6.456522275,3.521739422,2.347826282,0.34,0.16,0.5,89.15972222,Trevor Kelley,18454,665001
OAK,2023,34,0,4,9.000000954,2.277778019,4,4,0,0,0,0,18,6,3.000000318,7.000000742,2.500000265,0.445945945,0.189189189,0.364864864,89.13089005,Drew Rucinski,12499,607968
SEA,2023,31,4,1,5.22,1.46,10,10,4,0,0,0,50,34,6.12,3.24,0.9,0.40625,0.24375,0.35,89.11333333,Marco Gonzales,15467,594835
BAL,2023,27,1,0,4.295455011,1.22727286,9,0,0,0,0,0,14.2,9,5.522727871,1.22727286,1.22727286,0.468085106,0.212765957,0.319148936,89.08737864,Nick Vespi,21093,663989
SDP,2023,24,1,0,5.4,1.4,1,1,0,0,0,0,5,1,1.8,1.8,0,0.6,0.15,0.25,89.05882353,Jackson Wolf,29832,680232
HOU,2023,30,4,3,3.000000347,1.121212251,68,0,0,1,1,10,66,74,10.09091026,3.409091303,0.818181913,0.429447852,0.159509202,0.411042944,89.03532609,Phil Maton,18064,664208
MIA,2023,27,0,1,6.447761561,1.477612024,9,1,0,0,0,0,22.1,16,6.447761561,1.61194039,2.820895683,0.342105263,0.197368421,0.460526315,89.02027027,Devin Smeltzer,19487,656970
WSN,2023,36,0,0,24.7500059,4.250001013,3,0,0,0,0,0,4,3,6.750001609,6.750001609,2.250000536,0.227272727,0.454545454,0.318181818,88.94444444,Paolo Espino,8246,502179
CLE,2023,30,0,0,5.68421124,1.736842323,7,0,0,0,0,0,12.2,11,7.815790454,8.526316859,2.131579215,0.394736842,0.105263157,0.5,88.85046729,Daniel Norris,13475,596057
PHI,2023,26,0,1,22.09091292,2.18181856,1,1,0,0,0,0,3.2,4,9.818183521,0,7.36363764,0.3125,0.1875,0.5,88.82692308,Michael Plassmeyer,23191,674681
BOS,2023,33,0,0,2.700000644,1.200000286,5,0,0,0,0,1,6.2,5,6.750001609,2.700000644,0,0.3,0.25,0.45,88.80701754,Ryan Sherriff,12249,595411
ATL,2023,29,0,0,1.080000165,1.080000165,8,0,0,0,0,0,8.1,11,11.88000181,2.16000033,0,0.47368421,0.210526315,0.315789473,88.78378378,Danny Young,18439,664849
COL,2023,30,6,14,5.029978915,1.471092173,29,29,12,0,0,0,155.2,94,5.434689863,2.428265683,1.676659638,0.399624765,0.202626641,0.397748592,88.77601411,Kyle Freeland,16256,607536
NYY,2023,28,0,0,24.7500059,3.500000834,4,0,0,0,0,0,4,3,6.750001609,13.50000322,2.250000536,0.611111111,0.111111111,0.277777777,88.71830986,Matt Krook,19315,640454
- - -,2023,28,0,2,8.307693527,2.000000293,8,0,0,0,0,0,13,12,8.307693527,4.846154557,2.076923382,0.5,0.204545454,0.295454545,88.58208955,Nabil Crismatt,17732,622503
MIL,2023,32,2,1,1.818653425,0.963730875,73,0,0,0,3,17,64.1,59,8.253888621,1.818653425,0.699482086,0.508571428,0.148571428,0.342857142,88.52062868,Hoby Milner,13346,571948
- - -,2023,34,0,0,0,0.500000079,5,0,0,0,0,0,6,7,10.50000167,1.500000238,0,0.666666666,0.083333333,0.25,88.515625,Adam Kolarek,10843,592473
TOR,2023,36,3,3,3.461538462,1.288461538,11,11,1,0,0,0,52,38,6.576923077,2.423076923,1.557692308,0.455621301,0.218934911,0.325443786,88.44606414,Hyun Jin Ryu,14444,547943
- - -,2023,26,1,0,5.464286319,1.392857297,27,0,0,0,0,1,28,22,7.071429354,3.535714677,0.642857214,0.494117647,0.176470588,0.329411764,88.43884892,Justin Bruihl,23779,677865
TBR,2023,26,1,1,5.727272727,1.545454545,10,0,0,0,0,0,33,27,7.363636364,3,1.636363636,0.444444444,0.268518518,0.287037037,88.4021164,Cooper Criswell,24975,681867
- - -,2023,29,2,1,3.351724887,1.427586526,42,0,0,0,0,2,48.1,43,8.006898342,4.282759578,0.744827753,0.464788732,0.197183098,0.338028169,88.33035714,Andrew Vasquez,19482,607755
NYY,2023,32,1,0,3.139534953,1.255813981,8,0,0,1,0,1,14.1,7,4.395348935,0.627906991,1.255813981,0.46,0.22,0.32,88.22105263,Ryan Weber,10160,543901
BOS,2023,37,3,6,7.036364002,1.636363721,15,9,1,1,0,0,55,42,6.87272763,3.436363815,2.781818327,0.301587301,0.222222222,0.476190476,88.20209059,Corey Kluber,2429,446372
- - -,2023,25,1,0,4.408164252,1.255102322,25,0,0,0,0,2,32.2,28,7.714287441,2.479592392,0.826530797,0.421568627,0.205882352,0.372549019,88.17153285,Joe La Sorsa,25481,686747
- - -,2023,43,8,14,5.41230073,1.523918009,32,27,7,0,1,0,146.1,129,7.933940843,3.567198209,1.4145786,0.379912663,0.244541484,0.375545851,88.12807377,Rich Hill,4806,448179
BOS,2023,36,1,0,5.282609462,1.369565416,27,0,0,0,1,2,30.2,16,4.695652855,1.467391517,1.467391517,0.552380952,0.18095238,0.266666666,88.08571429,Richard Bleier,7803,542947
NYM,2023,34,0,1,5.40000206,3.000001144,3,0,0,0,0,0,1.2,2,10.80000412,5.40000206,0,0.714285714,0.285714285,0,88.04,T.J. McFarland,3237,519008
SEA,2023,29,1,2,1.285714636,1.071428863,16,0,0,0,1,1,14,16,10.28571709,6.42857318,0.642857318,0.466666666,0.3,0.233333333,87.86746988,Penn Murfee,25174,682171
CHC,2023,33,6,8,3.744525547,1.204379562,24,24,12,0,0,0,137,93,6.109489051,1.773722628,0.854014599,0.46325167,0.195991091,0.340757238,87.6512425,Kyle Hendricks,12049,543294
MIN,2023,35,2,1,5.973451731,1.672566485,10,6,1,0,0,0,37.2,25,5.973451731,4.300885246,0.716814208,0.527559055,0.236220472,0.236220472,87.44736842,Dallas Keuchel,9434,572971
COL,2023,33,4,3,3.375000248,1.298077018,57,2,0,0,3,7,69.1,55,7.139423601,3.245192546,0.389423105,0.465346534,0.202970297,0.331683168,87.11918605,Brent Suter,13942,608718
- - -,2023,31,8,7,4.516728849,1.22676586,25,9,3,2,1,1,89.2,67,6.724907397,1.405204531,1.304832779,0.39084507,0.197183098,0.41197183,87.09772727,Ryan Yarbrough,16502,642232
ATL,2023,36,1,0,7.243903282,1.756097765,12,0,0,0,1,0,13.2,14,9.219513267,4.609756634,1.317073324,0.418604651,0.279069767,0.302325581,86.85714286,Lucas Luetge,8337,476595
