Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
"Dylan Bundy","BAL",30,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"Dylan Bundy",12917,605164
"Austin Adams","- - -",30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Austin Adams",13801,613534
"Hyun Jin Ryu","LAD",30,67,1,3,3,0,0.059701492,0.343283582,0.156862745,0.218181818,0.235294117,0,0,8,0.453475935,"Hyun Jin Ryu",14444,547943
"Brett Phillips","KCR",30,79,2,7,6,3,0.126582278,0.29113924,0.138461538,0.246753246,0.261538461,1,0,9,0.508291707,"Brett Phillips",14735,621433
"Caleb Smith","MIA",30,49,0,2,3,0,0,0.306122448,0.232558139,0.25,0.279069767,2,0,10,0.529069767,"Caleb Smith",14875,592761
"Daniel Palka","CHW",30,93,2,4,4,0,0.086021505,0.376344086,0.107142857,0.193548387,0.178571428,3,1,9,0.372119815,"Daniel Palka",14897,594953
"Nick Pivetta","PHI",30,27,0,1,0,0,0.037037037,0.703703703,0.08,0.115384615,0.08,0,0,2,0.195384615,"Nick Pivetta",15454,601713
"Reese McGuire","TOR",30,105,5,14,11,0,0.066666666,0.171428571,0.298969072,0.346153846,0.525773195,1,0,29,0.871927041,"Reese McGuire",15674,624512
"Spencer Turnbull","DET",30,8,0,1,0,0,0,0.875,0,0,0,0,0,0,0,"Spencer Turnbull",16207,605513
"Richard Urena","TOR",30,80,0,4,4,0,0.025,0.2875,0.243243243,0.272727272,0.324324324,0,0,18,0.597051596,"Richard Urena",16411,620446
"Mauricio Dubón","- - -",30,111,4,12,9,3,0.045045045,0.18018018,0.273584905,0.306306306,0.433962264,3,1,29,0.74026857,"Mauricio Dubon",16530,643289
"Mark Zagunis","CHC",30,40,0,2,5,0,0.1,0.4,0.25,0.325,0.333333333,1,0,9,0.658333333,"Mark Zagunis",16565,657145
"Willi Castro","DET",30,110,1,10,8,0,0.054545454,0.309090909,0.23,0.284403669,0.34,4,1,23,0.624403669,"Willi Castro",17338,650489
"Andrew Stevenson","WSN",30,37,0,4,0,0,0.162162162,0.297297297,0.366666666,0.486486486,0.466666666,1,1,11,0.953153152,"Andrew Stevenson",17932,664057
"Kyle Garlick","LAD",30,53,3,8,6,0,0.094339622,0.358490566,0.25,0.320754716,0.520833333,0,0,12,0.841588049,"Kyle Garlick",18063,664247
"Phil Maton","- - -",30,4,0,0,1,0,0,0.5,0.25,0.25,0.25,0,0,1,0.5,"Phil Maton",18064,664208
"Eric Lauer","SDP",30,48,0,1,0,0,0.020833333,0.479166666,0.1,0.121951219,0.15,0,0,4,0.271951219,"Eric Lauer",19316,641778
"Joey Lucchesi","SDP",30,54,0,0,1,0,0.018518518,0.666666666,0.0625,0.081632653,0.0625,0,0,3,0.144132653,"Joey Lucchesi",19320,664192
