Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,IP
John Brebbia,1/26/2024,Chicago White Sox,SFG,34,1.4,6,169,5,299.2
Andrew Knizner,1/11/2024,Texas Rangers,STL,29,1.4,5,255,714,
Penn Murfee,11/30/2023,Atlanta Braves,ATL,30,1.4,2,2,0,83.1
Kenta Maeda,11/28/2023,Detroit Tigers,MIN,36,1.4,7,143,179,866.1
Matt Barnes,2/27/2024,Washington Nationals,MIA,34,1.3,10,25,1,453
Paul DeJong,11/28/2023,Chicago White Sox,SFG,30,1.3,7,729,2526,
Jared Walsh,1/25/2024,Texas Rangers,LAA,30,1.2,5,364,1235,
Dakota Hudson,1/5/2024,Colorado Rockies,STL,29,1.2,6,56,55,470.2
Joe Ross,12/12/2023,Milwaukee Brewers,SFG,31,1.2,6,110,157,443.1
Will Smith,12/11/2023,Kansas City Royals,TEX,34,1.2,11,371,1,611
Derek Law,2/22/2024,Washington Nationals,CIN,33,1.1,7,108,2,256
Jay Jackson,2/7/2024,Minnesota Twins,TOR,36,1.1,5,56,3,87.1
Brandon Hughes,2/1/2024,Arizona Diamondbacks,CHC,28,1.1,2,1,0,71.1
James Paxton,1/29/2024,Los Angeles Dodgers,BOS,35,1.1,10,8,12,850.2
Charlie Culberson,1/12/2024,Atlanta Braves,ATL,35,1.1,11,586,1212,
Kevin Newman,12/31/2023,Arizona Diamondbacks,CIN,30,1.1,6,505,1770,
Victor Caratini,12/7/2023,Houston Astros,MIL,30,1.1,7,519,1386,
Kirby Yates,12/6/2023,Texas Rangers,ATL,37,1.1,9,182,2,349.2
Vladimir Gutierrez,2/22/2024,Miami Marlins,CIN,28,1,2,21,33,150.2
Scott Alexander,2/14/2024,Oakland Athletics,SFG,34,1,9,116,8,270.2
Lou Trivino,2/14/2024,New York Yankees,NYY,32,1,5,,,
Chasen Shreve,2/5/2024,Texas Rangers,CIN,33,1,10,102,3,356
Matt Carpenter,1/19/2024,St. Louis Cardinals,ATL,38,1,13,1452,4719,
Joe Barlow,1/12/2024,Chicago White Sox,KCR,28,1,3,2,0,73.2
Shelby Miller,12/22/2023,Detroit Tigers,LAD,33,1,11,142,204,820
Diego Castillo,12/18/2023,Texas Rangers,SEA,30,1,6,19,2,268.1
Ryan Burr,12/12/2023,Philadelphia Phillies,TBR,30,1,5,,,
Jake Cousins,12/5/2023,Chicago White Sox,HOU,29,1,3,26,0,52.2
José Cisnero,2/3/2024,Los Angeles Angels,DET,35,0.9,7,8,1,259.1
Tyler Duffey,1/10/2024,Kansas City Royals,CHC,33,0.9,9,13,1,477
Jorge López,12/13/2023,New York Mets,BAL,31,0.9,8,21,7,480
Jake Marisnick,12/13/2023,Los Angeles Angels,LAD,33,0.9,11,877,2053,
Andrew Velazquez,11/24/2023,Atlanta Braves,ATL,29,0.9,6,275,566,
Bryan Shaw,2/18/2024,Chicago White Sox,CHW,36,0.8,13,246,0,760.1
Drew Pomeranz,2/14/2024,Los Angeles Angels,SDP,35,0.8,12,,,
Nick Solak,2/6/2024,Seattle Mariners,DET,29,0.8,5,255,865,
Josh Rogers,1/25/2024,Colorado Rockies,COL,29,0.8,5,,,
Luis Torrens,1/24/2024,New York Yankees,SEA,28,0.8,6,269,732,
Tyler Gilbert,1/17/2024,Cincinnati Reds,ARI,30,0.8,3,8,9,91.2
Josh Staumont,12/27/2023,Minnesota Twins,KCR,30,0.8,5,6,0,168.1
Devin Smeltzer,12/2/2023,Miami Marlins,MIA,28,0.8,5,0,0,162.1
Garrett Hampson,11/29/2023,Kansas City Royals,MIA,29,0.8,6,517,1379,
José Ruiz,11/28/2023,Philadelphia Phillies,ARI,29,0.8,7,10,1,219.1
Yonny Hernández,11/16/2023,Milwaukee Brewers,LAD,26,0.8,3,69,189,1
Julio Teheran,2/28/2024,Baltimore Orioles,MIL,33,0.7,12,223,382,1468
Phil Maton,2/14/2024,Tampa Bay Rays,HOU,31,0.7,7,120,5,347
Spencer Turnbull,2/14/2024,Philadelphia Phillies,DET,31,0.7,5,4,10,302.1
Ryan Brasier,2/8/2024,Los Angeles Dodgers,LAD,36,0.7,7,12,0,257.1
Andrew Vasquez,1/4/2024,Detroit Tigers,DET,30,0.7,5,3,0,63.2
Óscar Mercado,12/28/2023,San Diego Padres,LAD,29,0.7,5,298,890,
Luis García,12/13/2023,Los Angeles Angels,SDP,37,0.7,11,271,2,469
Emilio Pagán,12/1/2023,Cincinnati Reds,MIN,33,0.7,7,77,5,400
Charles Leblanc,11/26/2023,Los Angeles Angels,MIA,28,0.7,1,,,
Yu Chang,2/20/2024,Tampa Bay Rays,BOS,28,0.6,5,235,594,
Dalton Guthrie,2/6/2024,Boston Red Sox,ATL,28,0.6,2,37,45,
Mark Mathias,11/29/2023,Cincinnati Reds,SFG,29,0.6,3,73,179,
Jordan Luplow,3/16/2024,Philadelphia Phillies,MIN,30,0.5,7,361,918,2.1
Eddie Rosario,3/8/2024,Washington Nationals,ATL,32,0.5,9,1030,3768,
Richard Lovelady,1/31/2024,Chicago Cubs,OAK,28,0.5,4,4,0,65
Jordan Hicks,1/18/2024,San Francisco Giants,TOR,27,0.5,5,105,1,243.1
Martín Maldonado,1/5/2024,Chicago White Sox,HOU,37,0.5,13,1118,3314,2
Carlos Pérez,1/5/2024,Oakland Athletics,OAK,33,0.5,5,278,786,1.2
Conner Capel,12/26/2023,Cincinnati Reds,OAK,27,0.5,2,54,125,
Luis Severino,12/1/2023,New York Mets,NYY,30,0.5,8,5,12,727.1
Colin Rea,11/2/2023,Milwaukee Brewers,MIL,33,0.5,5,28,44,279
Jake Odorizzi,3/15/2024,Tampa Bay Rays,TEX,34,0.4,11,,,
Joey Krehbiel,2/7/2024,Seattle Mariners,BAL,31,0.4,4,3,0,74
Keynan Middleton,2/3/2024,St. Louis Cardinals,NYY,30,0.4,7,8,0,194.1
Danny Young,1/12/2024,New York Mets,ATL,30,0.4,2,0,0,14.2
Lewin Díaz,1/5/2024,Washington Nationals,BAL,27,0.4,3,,,
Cody Poteet,1/5/2024,New York Yankees,KCR,29,0.4,2,7,10,58.2
Luis González,12/21/2023,New York Yankees,SFG,28,0.4,3,,,
Matt Koch,12/18/2023,Colorado Rockies,COL,33,0.4,6,33,26,168.1
Roberto Pérez,12/14/2023,Boston Red Sox,SFG,35,0.4,10,516,1520,
Ben Lively,12/12/2023,Cleveland Guardians,CIN,32,0.4,4,20,33,208.2
Sergio Alcántara,12/9/2023,Pittsburgh Pirates,ARI,27,0.4,3,,,
Hunter Stratton,12/8/2023,Pittsburgh Pirates,PIT,27,0.4,1,0,0,12
Michael Tonkin,12/6/2023,New York Mets,ATL,34,0.4,6,7,2,226.1
Erasmo Ramírez,12/4/2023,Tampa Bay Rays,TBR,34,0.4,12,15,14,828.1
Jeff Brigham,2/9/2024,Minnesota Twins,NYM,32,0.3,5,36,4,117.1
Greg Allen,1/30/2024,New York Yankees,MIL,31,0.3,7,304,735,
Nabil Crismatt,12/12/2023,Los Angeles Dodgers,ARI,29,0.3,4,43,10,170
Jovani Morán,11/20/2023,Minnesota Twins,MIN,27,0.3,3,2,0,91
Ricky Karcher,11/17/2023,Arizona Diamondbacks,CIN,26,0.3,1,0,0,1
Kyle Garlick,2/23/2024,Arizona Diamondbacks,MIN,32,0.2,5,158,347,
Jordan Holloway,2/9/2024,Seattle Mariners,CHW,28,0.2,3,,,
Jhonathan Díaz,2/7/2024,Seattle Mariners,LAA,27,0.2,3,0,0,35.1
Jake Diekman,2/6/2024,New York Mets,TBR,37,0.2,12,218,1,570.1
Kevin Pillar,2/5/2024,Chicago White Sox,ATL,35,0.2,11,1114,3804,
Ken Giles,2/2/2024,Atlanta Braves,LAD,33,0.2,9,,,
Joe Dunand,1/31/2024,Boston Red Sox,ATL,28,0.2,1,,,
Austin Voth,1/17/2024,Seattle Mariners,BAL,32,0.2,6,58,13,299.1
Austin Allen,1/16/2024,New York Mets,MIA,30,0.2,4,,,
Justin Bruihl,1/3/2024,Cincinnati Reds,COL,27,0.2,3,22,0,70.1
Alan Busenitz,1/3/2024,Cincinnati Reds,CIN,33,0.2,3,3,0,64
Jackson Stephens,11/30/2023,Atlanta Braves,ATL,30,0.2,4,36,8,129
Ronny Henriquez,11/19/2023,Minnesota Twins,MIN,24,0.2,1,,,
Austin Cox,11/18/2023,Kansas City Royals,KCR,27,0.2,1,1,0,35.2
Justin Wilson,3/15/2024,Cincinnati Reds,MIL,36,0.1,11,291,7,467
Yonny Chirinos,2/12/2024,Miami Marlins,ATL,30,0.1,5,2,3,326.1
Carson Fulmer,2/9/2024,Los Angeles Angels,LAA,30,0.1,7,22,3,140.2
DJ Peters,2/5/2024,Texas Rangers,DET,28,0.1,2,,,
Caleb Boushley,1/25/2024,Minnesota Twins,MIL,30,0.1,1,0,0,2.1
John Curtiss,1/25/2024,Colorado Rockies,NYM,31,0.1,6,41,5,106.1
Stephen Gonsalves,1/24/2024,Los Angeles Dodgers,CHC,29,0.1,5,,,
Mark Kolozsvary,12/21/2023,Boston Red Sox,MIN,28,0.1,2,11,20,
Ty Blach,12/20/2023,Colorado Rockies,COL,33,0.1,6,91,78,448.2
Ben Heller,12/11/2023,Pittsburgh Pirates,ATL,32,0.1,5,0,0,50
Joe Kelly,12/11/2023,Los Angeles Dodgers,LAD,36,0.1,12,189,92,807
Jakson Reetz,12/7/2023,San Francisco Giants,SFG,28,0.1,2,,,
Ali Sánchez,12/1/2023,Pittsburgh Pirates,ARI,27,0.1,3,,,
Wynton Bernard,11/28/2023,Chicago White Sox,COL,33,0.1,1,,,
Tristan Gray,11/16/2023,Miami Marlins,TBR,28,0.1,1,2,5,
Vinny Nittoli,11/3/2023,Oakland Athletics,NYM,33,0.1,3,0,0,6.2
Mike Ford,2/24/2024,Cincinnati Reds,SEA,31,0,5,234,627,5
Kevin Herget,2/22/2024,Milwaukee Brewers,CIN,33,0,2,0,0,31.1
Chase Anderson,2/17/2024,Pittsburgh Pirates,COL,36,0,10,173,275,1049
Hans Crouse,2/8/2024,Los Angeles Angels,PHI,25,0,2,,,
Luke Farrell,2/6/2024,Washington Nationals,CHW,33,0,6,,,
Stephen Nogosek,2/6/2024,Washington Nationals,ARI,29,0,4,8,1,57.1
T.J. McFarland,1/26/2024,Los Angeles Dodgers,BAL,35,0,11,178,15,474
Juan Then,1/24/2024,Chicago White Sox,SEA,24,0,1,0,0,11
Michael Chavis,1/18/2024,Seattle Mariners,WSN,28,0,5,357,1106,
Chandler Seagle,1/15/2024,San Diego Padres,SDP,28,0,1,1,1,
Yacksel Ríos,1/10/2024,New York Mets,OAK,31,0,6,63,2,98.1
Brenan Hanifee,12/19/2023,Detroit Tigers,DET,26,0,1,0,0,5
Nash Walters,12/19/2023,Washington Nationals,WSN,27,0,1,,,
Isaac Mattson,12/11/2023,Pittsburgh Pirates,MIN,28,0,2,,,
Nate Mondou,12/8/2023,San Diego Padres,CHW,29,0,1,,,
Ryder Ryan,12/8/2023,Pittsburgh Pirates,SEA,29,0,1,0,0,1
Daulton Jefferies,12/7/2023,San Francisco Giants,OAK,28,0,3,0,0,56.1
Austin Adams,11/30/2023,New York Mets,ARI,33,0,7,74,2,114.1
Adam Kolarek,11/26/2023,Los Angeles Angels,ATL,35,0,7,36,0,149.1
Jose Espada,11/25/2023,San Diego Padres,SDP,27,0,1,0,0,1
Yusniel Diaz,11/21/2023,San Francisco Giants,LAD,27,0,1,,,
Gilberto Celestino,11/19/2023,Pittsburgh Pirates,MIN,25,0,2,,,
Mason McCoy,11/18/2023,San Diego Padres,TOR,29,0,1,6,1,
Logan Porter,11/18/2023,Kansas City Royals,KCR,28,0,1,11,31,
Thomas Szapucki,11/18/2023,San Francisco Giants,SFG,28,0,2,,,
Austin Brice,2/19/2024,Philadelphia Phillies,MIN,32,-0.1,7,,,
Keston Hiura,2/19/2024,Detroit Tigers,MIL,27,-0.1,4,,,
Brian Moran,2/4/2024,Atlanta Braves,ATL,35,-0.1,4,,,
Nick Hernandez,1/26/2024,San Diego Padres,SDP,29,-0.1,1,0,0,3
Nick Burdi,1/12/2024,New York Yankees,CHC,31,-0.1,4,12,0,15.1
Derek Hill,12/27/2023,Texas Rangers,WSN,28,-0.1,4,108,280,
Brett Kennedy,12/20/2023,Cincinnati Reds,CIN,29,-0.1,2,6,8,44.2
Jorge Alfaro,12/14/2023,Chicago Cubs,MIA,31,-0.1,8,496,1590,
Ryan Dorow,12/13/2023,Texas Rangers,TEX,28,-0.1,2,,,
Trey Wingenter,12/12/2023,Detroit Tigers,DET,30,-0.1,3,69,0,87
Payton Henry,12/8/2023,Toronto Blue Jays,MIL,27,-0.1,2,,,
Anthony Misiewicz,12/7/2023,New York Yankees,NYY,29,-0.1,4,3,0,114.2
Nicklaus Snyder,12/4/2023,Philadelphia Phillies,TEX,28,-0.1,2,,,
Cole Waites,11/22/2023,San Francisco Giants,SFG,26,-0.1,2,0,0,8
Ryan Vilade,11/21/2023,Detroit Tigers,PIT,25,-0.1,2,,,
Jared Koenig,11/20/2023,Milwaukee Brewers,SDP,30,-0.1,1,0,0,39.1
Daz Cameron,11/17/2023,Oakland Athletics,BAL,27,-0.1,3,,,
Yerry De Los Santos,11/17/2023,New York Yankees,PIT,26,-0.1,2,0,0,50
Eduardo Salazar,11/16/2023,Los Angeles Dodgers,CIN,26,-0.1,1,0,0,12.1
Dominic Smith,2/23/2024,Chicago Cubs,WSN,29,-0.2,7,600,1771,
Brent Honeywell Jr.,2/12/2024,Pittsburgh Pirates,CHW,29,-0.2,2,0,0,56.2
Aaron Brooks,2/9/2024,Oakland Athletics,SDP,34,-0.2,9,,,
Chris Owings,2/7/2024,Los Angeles Dodgers,PIT,32,-0.2,11,720,2305,3.2
Brian O'Keefe,2/6/2024,Minnesota Twins,SEA,30,-0.2,2,10,22,
Matt Carasiti,1/29/2024,Colorado Rockies,COL,32,-0.2,3,20,1,49.2
Matt Bowman,1/24/2024,Minnesota Twins,NYY,33,-0.2,5,174,3,185.1
Daniel Johnson,1/23/2024,Baltimore Orioles,SDP,28,-0.2,3,,,
Kevin Smith,1/8/2024,New York Yankees,OAK,27,-0.2,3,114,306,
Michael Plassmeyer,12/29/2023,Pittsburgh Pirates,PHI,27,-0.2,2,0,0,11
Donovan Walton,12/23/2023,San Francisco Giants,SFG,30,-0.2,4,,,
Travis Swaggerty,12/11/2023,Los Angeles Dodgers,CHW,26,-0.2,1,,,
Gerardo Reyes,12/10/2023,Oakland Athletics,LAA,31,-0.2,3,27,1,37.2
Taylor Kohlwey,12/8/2023,New York Mets,SDP,29,-0.2,1,5,13,
José Castillo,12/4/2023,Arizona Diamondbacks,MIA,28,-0.2,4,35,1,40.1
Tommy Doyle,11/25/2023,Atlanta Braves,COL,28,-0.2,2,0,0,26
Luis Liberato,11/19/2023,Atlanta Braves,SDP,28,-0.2,1,,,
Geoff Hartlieb,11/13/2023,Colorado Rockies,MIA,30,-0.2,4,34,0,70.1
Drew Carlton,11/7/2023,San Diego Padres,SDP,28,-0.2,3,2,0,33
Justin Garza,3/9/2024,San Francisco Giants,BOS,30,-0.3,2,0,0,47
Josh Lester,2/18/2024,Kansas City Royals,BAL,29,-0.3,2,13,27,1
Anthony Banda,1/30/2024,Cleveland Guardians,WSN,30,-0.3,7,36,6,118.2
Luke Weaver,1/19/2024,New York Yankees,NYY,30,-0.3,8,84,108,574.1
Cody Stashak,1/16/2024,San Francisco Giants,SFG,30,-0.3,4,,,
Zach Plesac,1/6/2024,Los Angeles Angels,CLE,29,-0.3,5,1,0,466.2
Chris Okey,1/3/2024,Los Angeles Dodgers,LAA,29,-0.3,2,9,14,
Rylan Bannon,12/11/2023,New York Mets,HOU,28,-0.3,2,7,20,
Hernán Pérez,12/11/2023,Cincinnati Reds,MIN,33,-0.3,11,,,
Erik González,12/5/2023,Cincinnati Reds,CHW,32,-0.3,7,,,
Ethan Roberts,12/2/2023,Chicago Cubs,CHC,26,-0.3,1,,,
Osvaldo Bido,11/20/2023,Oakland Athletics,PIT,28,-0.3,1,0,0,50.2
Wyatt Mills,11/19/2023,Boston Red Sox,BOS,29,-0.3,2,,,
Rico Garcia,9/5/2023,Washington Nationals,WSN,30,-0.3,4,3,1,35.2
Ehire Adrianza,2/22/2024,Los Angeles Angels,ATL,34,-0.4,11,616,1368,
Ben Gamel,2/12/2024,New York Mets,SDP,32,-0.4,8,685,1965,
José Godoy,2/5/2024,Texas Rangers,BAL,29,-0.4,2,,,
Caleb Hamilton,1/31/2024,Los Angeles Angels,BOS,29,-0.4,2,26,23,
Shane Greene,1/22/2024,Texas Rangers,CHC,35,-0.4,10,68,7,473.2
Sean Poppen,1/18/2024,Seattle Mariners,SDP,30,-0.4,4,,,
Jake Lamb,1/11/2024,Pittsburgh Pirates,NYY,33,-0.4,10,723,2309,1
Elier Hernandez,12/27/2023,Texas Rangers,TEX,29,-0.4,1,,,
Tucker Barnhart,12/26/2023,Arizona Diamondbacks,LAD,33,-0.4,10,881,2655,5
Travis Blankenhorn,12/22/2023,Washington Nationals,WSN,27,-0.4,4,36,60,
Phillip Evans,12/21/2023,Atlanta Braves,ARI,31,-0.4,6,,,
Juan Yepez,12/21/2023,Washington Nationals,STL,26,-0.4,2,104,313,
Trevor Gott,12/19/2023,Oakland Athletics,NYM,31,-0.4,8,87,1,243.2
Rowdy Tellez,12/15/2023,Pittsburgh Pirates,MIL,29,-0.4,6,533,1690,1
Austin Wynns,12/14/2023,Cincinnati Reds,COL,33,-0.4,5,231,602,
Rob Zastryzny,12/12/2023,Milwaukee Brewers,PIT,32,-0.4,5,18,6,59.1
Tommy Nance,12/10/2023,San Diego Padres,MIA,33,-0.4,2,,,
Calvin Mitchell,11/21/2023,San Diego Padres,PIT,25,-0.4,2,71,216,
Enoli Paredes,11/21/2023,Milwaukee Brewers,HOU,28,-0.4,3,,,
Luke Williams,11/18/2023,Atlanta Braves,ATL,27,-0.4,3,148,244,1
P.J. Higgins,11/13/2023,Cincinnati Reds,CHC,31,-0.4,2,,,
