Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,IP
Rafael Lopez,2/24/2017,Toronto Blue Jays,CIN,29,-0.2,2,15,18,447
Rafael Ortega,12/6/2016,San Diego Padres,LAA,26,-0.4,2,68,189,
Rafael Ynoa,12/14/2016,Colorado Rockies,COL,29,-0.7,3,94,199,
Rajai Davis,1/3/2017,Oakland Athletics,CLE,36,4.1,11,1201,3687,
Ramón Cabrera,1/12/2017,Miami Marlins,CIN,27,0.5,2,74,201,
Ramón Flores,11/14/2016,Los Angeles Angels,MIL,25,-1.4,2,116,281,277
Reid Brignac,12/9/2016,Houston Astros,ATL,31,-0.8,9,369,886,
Rey Fuentes,12/9/2016,Arizona Diamondbacks,KCR,26,-0.2,2,36,74,393
Rich Hill,12/5/2016,Los Angeles Dodgers,LAD,37,6,12,77,126,
Rickie Weeks,2/4/2017,Tampa Bay Rays,ARI,34,-0.8,13,1287,4320,
Rob Brantly,12/9/2016,Cincinnati Reds,SEA,27,-0.3,3,112,356,662.2
Rob Wooten,12/19/2016,Cincinnati Reds,ATL,31,-0.4,3,,,
Robert Andino,2/6/2017,Baltimore Orioles,MIA,33,-0.1,10,481,1344,
Ross Detwiler,4/1/2017,Oakland Athletics,OAK,31,-2.2,9,149,116,
Rubby De La Rosa,1/3/2017,Arizona Diamondbacks,ARI,28,0.8,6,59,94,19
Rubén Tejada,12/12/2016,New York Yankees,SFG,27,1.6,7,616,1997,147.2
Ryan Brett,12/6/2016,Tampa Bay Rays,TBR,25,0.1,1,,,17
Ryan Cook,11/7/2016,Seattle Mariners,SEA,30,-0.7,5,28,0,
Ryan Hanigan,4/2/2017,Colorado Rockies,BOS,36,1.3,10,647,1858,2
Ryan Howard,4/6/2017,Atlanta Braves,PHI,37,-4.1,13,1572,5707,11
Ryan Kalish,4/5/2017,Chicago Cubs,CHC,29,-0.5,4,153,387,1432.1
Ryan LaMarre,4/23/2017,Oakland Athletics,BOS,28,-0.6,2,26,30,
Ryan Lavarnway,11/21/2016,Oakland Athletics,TOR,29,-0.4,5,134,373,
Ryan Lollis,2/7/2017,San Francisco Giants,SFG,30,-0.1,1,,,
Ryan Raburn,4/8/2017,Chicago White Sox,COL,36,-1.1,11,921,2407,
Ryan Strausborger,1/26/2017,Minnesota Twins,SEA,29,-0.6,1,,,119.2
Ryan Vogelsong,1/11/2017,Minnesota Twins,PIT,39,0.1,12,274,311,
Sam Freeman,10/14/2016,Atlanta Braves,MIL,30,1.2,5,86,0,
Santiago Casilla,1/20/2017,Oakland Athletics,SFG,36,3.7,13,403,4,
Scott Copeland,11/21/2016,Miami Marlins,TOR,29,-0.2,1,1,1,2.2
Scott Feldman,1/26/2017,Cincinnati Reds,TOR,34,2.4,12,37,61,
Sean Burnett,12/12/2016,Philadelphia Phillies,WSN,34,0,9,351,29,89
Sean Kazmar Jr.,11/17/2016,Atlanta Braves,ATL,32,,1,19,39,
Sean Rodríguez,11/30/2016,Atlanta Braves,PIT,32,1.8,9,903,2165,
Sergio Romo,2/15/2017,Los Angeles Dodgers,SFG,34,1.8,9,496,6,2
Seth Maness,2/13/2017,Kansas City Royals,STL,28,0.5,4,234,14,
Seth Rosin,2/23/2017,Minnesota Twins,SDP,28,-0.2,2,,,
Shane Peterson,12/22/2016,Tampa Bay Rays,MIL,29,0.6,2,95,208,
Shane Robinson,11/22/2016,Los Angeles Angels,LAA,32,0,7,416,680,
Shawn Tolleson,1/23/2017,Tampa Bay Rays,TEX,29,2.2,5,48,1,17.1
Simón Castro,12/1/2016,Oakland Athletics,COL,29,0,2,12,0,726.1
Slade Heathcott,2/21/2017,San Francisco Giants,CHW,26,0.4,1,,,
Stephen Cardullo,5/22/2017,Colorado Rockies,COL,29,-0.3,1,27,56,656
Stephen Drew,1/26/2017,Washington Nationals,WSN,34,0.2,11,1222,4308,15.1
Stephen Fife,12/9/2016,Miami Marlins,CHC,30,-0.1,4,,,
Steve Geltz,12/30/2016,Los Angeles Dodgers,MIL,29,0.2,4,5,0,
Steve Johnson,3/5/2017,Baltimore Orioles,SEA,29,-0.1,4,1,0,
Steve Lombardozzi,2/20/2017,Miami Marlins,WSN,28,-0.7,5,289,788,
Steve Pearce,12/5/2016,Toronto Blue Jays,BAL,34,8,10,569,1639,4
Steven Baron,11/18/2016,Seattle Mariners,SEA,26,-0.3,1,4,11,
Steven Lerud,4/18/2017,Texas Rangers,SFG,32,,4,,,
T.J. House,12/14/2016,Toronto Blue Jays,CLE,27,1.3,3,1,2,
Thad Weber,12/19/2016,Detroit Tigers,DET,32,,4,,,22.1
Thomas Field,12/15/2016,Minnesota Twins,MIN,30,-0.1,5,,,
Tim Collins,12/13/2016,Washington Nationals,KCR,27,0.2,4,15,1,3172.1
Tim Dillard,12/8/2016,Milwaukee Brewers,MIL,33,,8,,,5
Tim Federowicz,12/9/2016,San Francisco Giants,CHC,29,-0.9,5,106,278,
Todd Cunningham,11/18/2016,St. Louis Cardinals,ANA,28,0,3,67,121,181.2
Tom Wilhelmsen,2/10/2017,Arizona Diamondbacks,SEA,33,1.8,6,21,0,
Tommy Hunter,2/16/2017,Tampa Bay Rays,BAL,30,1.5,9,32,3,7
Tommy Milone,12/14/2016,Milwaukee Brewers,MIN,30,1.1,6,14,27,
Tony Cruz,2/9/2017,San Diego Padres,KCR,30,-1.7,6,263,595,893
Tony Sanchez,11/22/2016,Los Angeles Angels,SFG,29,0.1,3,51,143,
Travis Denker,11/22/2016,Arizona Diamondbacks,ARI,31,,8,,,8.1
Travis Wood,2/15/2017,Kansas City Royals,CHC,30,0.9,7,274,280,
Trevor Cahill,1/20/2017,San Diego Padres,CHC,29,-0.9,8,168,165,
Trevor Plouffe,1/18/2017,Oakland Athletics,MIN,31,7.2,7,723,2638,604.2
Tyler Holt,12/6/2016,Los Angeles Dodgers,CIN,28,-1.2,3,156,281,
Tyler Ladendorf,2/27/2017,Chicago White Sox,OAK,29,-0.4,2,53,65,
Tyler Matzek,2/13/2017,Chicago White Sox,COL,26,2.8,2,26,46,36
Tyler Moore,12/9/2016,Miami Marlins,ATL,30,-1.1,4,277,601,
Tyler Sturdevant,11/11/2016,Oakland Athletics,TBR,31,0.2,1,2,0,
Tyson Ross,1/19/2017,Texas Rangers,SDP,30,6.6,7,100,149,
Vance Worley,4/2/2017,Miami Marlins,BAL,29,2.8,7,95,135,
Welington Castillo,12/16/2016,Baltimore Orioles,ARI,30,4.6,7,509,1721,18.1
Wilfredo Boscán,2/19/2017,New York Mets,ATL,27,-0.1,1,5,3,1883.2
Wilfredo Tovar,11/18/2016,St. Louis Cardinals,MIN,25,-0.1,2,9,18,128
Wilkin Castillo,12/21/2016,New York Yankees,TOR,33,,2,22,35,270.1
Will Middlebrooks,11/11/2016,Texas Rangers,MIL,28,-2.5,5,325,1112,
William Cuevas,11/17/2016,Detroit Tigers,BOS,26,0.1,1,0,0,
Williams Pérez,1/31/2017,Chicago Cubs,ATL,26,-0.7,2,32,45,88.1
Wilmer Font,12/21/2016,Los Angeles Dodgers,TOR,27,,2,0,0,207
Wilson Ramos,12/12/2016,Tampa Bay Rays,WSN,29,5.4,7,585,2136,8.2
Xavier Avery,1/18/2017,Atlanta Braves,BAL,27,,4,,,56
Yhonathan Barrios,11/9/2016,Milwaukee Brewers,MIL,25,0.3,1,,,446.1
Yoenis Céspedes,11/30/2016,New York Mets,NYM,31,13.5,5,707,2728,
Yusmeiro Petit,2/8/2017,Los Angeles Angels,WSN,32,1.1,9,187,118,
Zac Rosscup,12/9/2016,Chicago Cubs,CHC,29,-0.7,3,57,0,116.1
Zach Phillips,11/18/2016,St. Louis Cardinals,PIT,30,0.2,4,11,0,
Zach Walters,2/1/2017,Cincinnati Reds,LAD,27,-0.3,4,85,170,
